humidity,pm_2_5,temperature,hour,day,month
68.48547565,1.739130435,32.88269091,11,29,3
66.42277947,1.051724138,33.50810436,12,29,3
63.59193483,0.358974359,34.06010191,13,29,3
63.03902175,0.6,34.42810531,14,29,3
62.4293164,0.05982906,34.15556699,15,29,3
63.55526078,0.188034188,33.88762139,16,29,3
65.85765684,0.582608696,33.37635009,17,29,3
70.00887052,0.49137931,32.28325061,18,29,3
74.6287173,11.0,30.87524821,19,29,3
78.56531746,24.87931034,29.84420816,20,29,3
82.16054009,24.54310345,28.89215045,21,29,3
85.74030938,26.06034483,27.84416491,22,29,3
85.72363182,23.4159292,27.8987755,23,29,3
87.00498336,20.87931034,27.61797464,0,30,3
91.02869379,21.27586207,26.23440804,1,30,3
92.44132328,14.35344828,25.96748871,2,30,3
91.09215912,12.97413793,26.18183384,3,30,3
90.86036243,23.39130435,25.86919404,4,30,3
91.72808363,25.5862069,25.39499393,5,30,3
92.60956409,18.54700855,25.08725417,6,30,3
94.74867705,17.72413793,24.82305136,7,30,3
92.69813664,14.3362069,26.05336391,8,30,3
86.61893026,6.965517241,28.01770649,9,30,3
77.12835672,4.675213675,30.13714921,10,30,3
74.08320931,5.344827586,30.66274374,11,30,3
69.39568304,7.043103448,32.11595781,12,30,3
64.63942051,6.829059829,33.44203491,13,30,3
61.61918589,6.25862069,33.94016418,14,30,3
59.54980561,5.387931034,34.43843186,15,30,3
60.62617241,4.854700855,33.9281873,16,30,3
62.14221616,5.00862069,33.08909491,17,30,3
66.72399661,6.974358974,31.71031829,18,30,3
70.86844814,14.0,30.71185818,19,30,3
75.85852783,37.11965812,29.33975735,20,30,3
80.43933688,45.50862069,28.08909486,21,30,3
83.48843655,58.68965517,27.3734064,22,30,3
86.3843608,51.63247863,26.66325622,23,30,3
88.70298974,47.35344828,26.15440377,0,31,3
90.08563763,31.75862069,25.8800285,1,31,3
89.61554619,19.84482759,25.88243739,2,31,3
89.98364539,22.95726496,25.55682513,3,31,3
90.71713134,22.85344828,25.28103532,4,31,3
90.89972879,20.8974359,24.84962426,5,31,3
90.86676679,23.14655172,24.608383,6,31,3
90.58412225,33.27586207,24.55245255,7,31,3
90.78847357,22.77586207,24.53578526,8,31,3
86.52010053,13.87068966,26.8073809,9,31,3
80.0796859,11.55555556,29.28518063,10,31,3
